snap(0,0,40)
sky(235,235,235)
fog(130,145,290)
ground(100,100,300)
fadefrom(4000)
nlaps(2)
set(10,0,-3000,0)p
set(14,0,1000,0)
chk(40,0,1000,60)
set(10,4000,1000,90)
chk(42,40000,10000,0)
set(47,0,0,0)
set(31,5000,1000,-90)pr
set(10,15000,1000,90)
set(10,20000,1000,90)
set(10,25000,1000,90)
set(10,30000,1000,90)
set(10,35000,1000,90)
set(10,40000,1000,90)
set(14,40000,1000,90)
set(10,40000,5000,0)
set(10,40000,10000,0)
set(10,45000,1000,90)
set(10,40000,15000,0)
set(10,40000,20000,0)
set(10,40000,25000,0)
set(10,40000,30000,0)
set(10,40000,35000,0)
set(10,40000,40000,0)
set(10,40000,45000,0)
set(10,40000,50000,0)
set(10,40000,55000,0)
set(14,40000,59000,0)
set(10,40500,59000,90)
set(10,45000,59000,90)
set(10,50000,59000,90)
set(10,55000,59000,90)
set(10,6000,59000,90)
set(10,65000,59000,90)
set(14,65500,59000,0)
set(23,12200,1000,-90)
chk(42,40000,25000,0)
chk(42,40000,35000,0)
chk(42,40000,45000,0)
chk(42,40000,55000,0)
chk(40,45000,59000,0)
chk(40,65500,59000,70)
chk(40,40000,59000,70)
chk(40,47500,1000,90)

maxl(16,-8300,-8000)
maxb(17,-10400,-5900)
maxr(16,73300,-8000)
maxt(17,66400,-5900)
